,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
194,5,0.5,circles,svm,0.9,0.1224744871391589,0.2,0.4,0.7,5.0
195,5,0.5,circles,svm,0.95,0.1,0.2,0.4,0.75,10.0
196,5,0.5,circles,svm,0.95,0.1,0.2,0.4,0.75,50.0
197,5,0.5,circles,svm,1.0,0.0,0.2,0.4,0.8,1000.0
198,5,0.5,moons,logistic,0.7,0.18708286933869706,0.4,0.48989794855663565,0.29999999999999993,0.001
199,5,0.5,moons,logistic,0.7,0.18708286933869706,0.4,0.48989794855663565,0.29999999999999993,0.01
200,5,0.5,moons,logistic,0.7,0.18708286933869706,0.4,0.48989794855663565,0.29999999999999993,0.1
201,5,0.5,moons,logistic,0.7,0.18708286933869706,0.4,0.48989794855663565,0.29999999999999993,1.0
202,5,0.5,moons,logistic,0.85,0.2,0.2,0.4,0.6499999999999999,10.0
203,5,0.5,moons,logistic,0.9,0.1224744871391589,0.0,0.0,0.9,100.0
204,5,0.5,moons,logistic,0.9,0.1224744871391589,0.0,0.0,0.9,1000.0
205,5,0.5,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.001
206,5,0.5,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.005
207,5,0.5,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.01
208,5,0.5,moons,svm,0.75,0.0,0.4,0.48989794855663565,0.35,0.05
209,5,0.5,moons,svm,0.75,0.0,0.4,0.48989794855663565,0.35,0.1
210,5,0.5,moons,svm,0.8,0.1,0.2,0.4,0.6000000000000001,0.5
211,5,0.5,moons,svm,0.95,0.1,0.4,0.48989794855663565,0.5499999999999999,1.0
212,5,0.5,moons,svm,0.95,0.1,0.4,0.48989794855663565,0.5499999999999999,5.0
213,5,0.5,moons,svm,1.0,0.0,0.4,0.48989794855663565,0.6,10.0
214,5,0.5,moons,svm,1.0,0.0,0.4,0.48989794855663565,0.6,50.0
215,5,0.5,moons,svm,1.0,0.0,0.4,0.48989794855663565,0.6,1000.0
216,10,0.0,circles,logistic,0.625,0.0,0.0,0.0,0.625,0.001
217,10,0.0,circles,logistic,0.625,0.0,0.0,0.0,0.625,0.01
218,10,0.0,circles,logistic,0.625,0.0,0.0,0.0,0.625,0.1
219,10,0.0,circles,logistic,0.625,0.0,0.0,0.0,0.625,1.0
220,10,0.0,circles,logistic,0.625,0.0,0.0,0.0,0.625,10.0
221,10,0.0,circles,logistic,0.625,0.0,0.0,0.0,0.625,100.0
222,10,0.0,circles,logistic,0.625,0.0,0.0,0.0,0.625,1000.0
223,10,0.0,circles,svm,0.65,0.05,0.0,0.0,0.65,0.001
224,10,0.0,circles,svm,0.65,0.05,0.0,0.0,0.65,0.005
225,10,0.0,circles,svm,0.65,0.05,0.0,0.0,0.65,0.01
226,10,0.0,circles,svm,0.65,0.05,0.0,0.0,0.65,0.05
227,10,0.0,circles,svm,0.65,0.05,0.0,0.0,0.65,0.1
228,10,0.0,circles,svm,0.65,0.05,0.0,0.0,0.65,0.5
229,10,0.0,circles,svm,0.65,0.05,0.0,0.0,0.65,1.0
230,10,0.0,circles,svm,0.7,0.15,0.0,0.0,0.7,5.0
231,10,0.0,circles,svm,0.7,0.15,0.0,0.0,0.7,10.0
232,10,0.0,circles,svm,1.0,0.0,0.0,0.0,1.0,50.0
233,10,0.0,circles,svm,1.0,0.0,0.0,0.0,1.0,1000.0
234,10,0.0,moons,logistic,0.7,0.1,0.3,0.39999999999999997,0.39999999999999997,0.001
